Timestamp,PM1.0,PM2.5,PM4.0,PM10.0,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalSize,Temperature,Humidity,CO2_ppm,NOX_ADC_RED,ADC_NOX_V,RED_VOLTAGE
0,6.2,6.5,6.5,6.5,41.3,48.2,48.5,48.5,48.5,45.8,29.5,75.1,3000,3288,189,0.15
5,6.2,6.5,6.5,6.5,41.8,48.7,49,49,49,47.9,29.5,74.2,4628,3187,123,0.1
10,6.4,6.7,6.7,6.7,42.9,50,50.3,50.3,50.3,49.1,29.5,73.7,2229,3116,110,0.09
15,6.6,6.9,6.9,6.9,44.1,51.4,51.7,51.7,51.7,54.1,29.5,74,1983,3056,122,0.1
20,6.7,7,7,7,44.9,52.4,52.6,52.7,52.7,54.1,29.6,76.2,1990,2980,105,0.08
25,6.8,7.1,7.1,7.1,45.5,53.1,53.4,53.4,53.4,54.1,29.6,74.3,1996,2965,123,0.1
30,6.8,7.2,7.2,7.2,45.7,53.3,53.6,53.6,53.6,54.6,29.5,73.7,2003,2933,136,0.11
35,6.8,7.1,7.2,7.2,45.4,53,53.4,53.4,53.4,57.3,29.6,73.5,2009,2873,127,0.1
40,6.8,7.1,7.2,7.2,45.1,52.7,53.1,53.1,53.1,60.7,29.5,73.5,2017,2880,149,0.12
45,6.7,7.1,7.1,7.2,44.8,52.3,52.7,52.7,52.7,59.4,29.5,74.7,2026,2861,167,0.13
50,6.6,7,7.1,7.1,44.2,51.7,52,52,52,60.2,29.6,74.2,2033,2843,176,0.14
55,6.5,6.9,7,7,43.6,51,51.3,51.4,51.4,58.5,29.6,74,2038,2828,186,0.15
60,6.5,6.9,7,7,43.5,50.9,51.3,51.3,51.3,60.1,29.6,73.6,2044,2784,186,0.15
65,6.5,6.9,6.9,7,43.4,50.8,51.1,51.1,51.1,58.2,29.6,73.5,2050,2799,203,0.16
